;B1;B2;B3;B4;B5;B6
X276_26820;975.71732;842.0807485;629.9978752;531.617044;445.2781487;524.7205417
X276_26815;672.8459586;571.2663943;406.7566816;372.0137061;335.6758143;290.1704596
X276_26810;150.2697944;151.1521977;95.8598549;95.9590439;71.07726318;59.81814175
X276_26805;1436.631051;874.3117318;654.6105407;604.1281901;567.7221735;501.1081173
X276_26800;477.4952259;333.4239655;234.4680235;221.0801792;212.6345016;171.5836171
X276_26795;3297.126557;2615.896245;1957.354605;1518.793245;1586.396731;1546.876157
X276_26790;5347.531993;4384.154675;3874.551703;3216.105779;2938.357951;2873.369686
X276_26785;4.145373638;2.963768582;3.886210334;3.349699684;2.687795666;3.673043792
X276_26780;5.699888752;7.779892529;6.477017223;6.108275895;8.063386999;8.920249209
X276_26775;8614.345505;8604.561137;5149.012792;8176.419888;4422.917091;10966.65932
X276_26770;106.7433712;74.46468563;90.67824112;110.7371307;58.53421674;85.5294483
X276_26765;12.95429262;9.632247893;10.14732698;12.41359295;7.16745511;10.49441083
X276_26760;61.40334701;47.04982625;54.62284525;63.44725284;56.74235296;61.91702392
X276_26755;160.1150568;178.196586;184.5949909;167.8790665;163.3582477;174.2072198
X276_26750;328.261775;363.8025935;424.4605287;530.8288794;395.4046069;411.3809047
X276_26745;37.30836274;43.34511552;53.54334238;102.4614021;65.10438392;66.11478825
X276_26740;20.72686819;5.927537165;11.658631;30.34433832;11.94575852;10.49441083
X276_26735;39.38104956;8.891305747;15.97664248;27.97984442;14.63355418;17.31577788
X276_26730;73.58038207;30.0081569;53.97514353;45.12242516;47.48439011;57.71925959
X276_26725;85.23924543;28.52627261;53.54334238;51.82182453;45.0952384;59.81814175
X276_26720;62.43969042;40.01087586;49.2253309;42.75793126;34.34405574;39.35404063
X276_26715;392.7741522;319.7165358;334.4299893;393.4911923;318.9517524;289.1210185
X276_26710;476.7179684;343.7971556;342.6342111;396.0527274;409.4408732;344.7413959
X276_26705;12.43612091;58.5344295;255.1944786;403.1462091;193.521288;124.3587684
X276_26700;2.849944376;5.557066092;8.636022964;13.00471642;13.14033437;12.06857246
X276_26695;235.7681257;905.4313019;1106.922243;1643.126216;1161.426372;816.9898834
X276_26690;1.554515114;10.00271897;13.16993502;15.96033379;13.73762229;12.06857246
X276_26685;453.4002416;333.7944366;347.1681232;312.3102353;310.2910775;299.6154293
X276_26680;73.32129622;45.56794195;43.61191597;48.86620716;40.91422292;40.92820225
X276_26675;97.15719464;50.01359483;58.07725443;102.4614021;82.12708981;69.78783205
X276_26670;1218.480764;744.6468563;796.889019;1423.425325;1271.924638;1201.61004
X276_26665;49.74448365;50.75453697;83.55352218;113.1016246;95.26742418;80.28224288
X276_26660;377.4880869;583.8624107;1153.340867;1959.771356;817.0898826;1743.12164
X276_26655;318.1574267;446.0471716;547.0920548;472.5046966;466.1832261;534.690232
X276_26650;888.9235595;1316.654193;1324.334122;1159.390173;1149.779257;1248.310169
X276_26645;274.6310035;191.9040157;220.8662873;147.5838273;108.7064025;146.9217517
X276_26640;142.4972188;99.65671858;113.1319008;173.0021366;153.5029969;157.4161625
X276_26635;86.79376054;533.8488159;619.6346477;1109.341719;1899.972892;896.2226852
X276_26630;395.8831824;1146.237499;1673.66125;4177.075506;4413.957772;2814.600986
X276_26625;480.863342;41.49276015;64.12247051;52.01886568;31.35761611;59.81814175
X276_26620;458.5819587;384.9194446;303.9880083;200.7849399;220.3992446;289.1210185
X276_26615;643.8283431;521.9937416;484.4808883;326.6942398;384.3547803;461.2293562
X276_26610;956.0267952;935.4394588;712.255994;662.0582905;682.7000993;701.0266437
X276_26605;852.3924543;780.2120793;632.156881;619.4974004;607.7404646;574.0442726
X276_26600;1953.766413;1513.003861;1356.287407;1689.82497;1454.694743;1229.420229
X276_26595;714.5587808;505.3225433;354.5087427;2290.800502;8237.197786;7548.104992
X276_26590;73.06221037;83.72646245;207.2645511;377.7278997;320.7436162;208.8387756
X276_26585;13.47246432;27.78533046;285.2046584;889.8378691;551.5953995;299.0907088
X276_26580;110.629659;127.071578;125.222333;116.4513243;149.9192694;166.3364117
X276_26575;85.49833128;98.91577644;87.65563309;100.8850728;133.4938514;162.1386474
X276_26570;82.90747276;51.12500805;80.09911299;95.9590439;91.08640869;65.59006771
X276_26835;21.7632116;20.74638008;145.0851858;477.2336844;391.5222354;192.0477183
X276_26565;18.65418137;14.81884291;122.6315261;358.6149074;305.2141301;177.3555431
X276_26560;50.00356951;38.1585205;77.5083061;67.388076;36.73320744;77.13391963
X276_26555;1888.476778;1647.11439;1410.478451;2613.553918;1200.250087;1055.213009
X276_26550;1825.25983;865.049955;1157.442978;2405.872538;1382.12426;927.7059177
X276_26545;25.90858524;21.8577933;46.63452401;92.60934421;67.49353562;56.14509796
X276_26540;91.19822003;110.0299086;147.2441915;236.2523483;239.8111022;192.0477183
X276_26535;133.429214;67.79620632;143.5738818;164.9234492;60.02743655;70.31255259
